Stock,Mean,Median,Stdev,Skewness,Kurtosis,JB Stat,JB p-value
UnitedHealth Group Inc,4.510165310054568e-06,0.0,0.000775634649846177,0.15362479132167714,7.6173166943614765,37233.619906288266,0.0
Johnson & Johnson,2.026185218525e-06,0.0,0.0005764702999121855,0.06623913535388228,10.578699664610808,99898.5582326589,0.0
Walmart Inc,1.731176394181213e-06,0.0,0.0006648395808953006,0.0749062215825935,8.623969844033667,55034.011849306895,0.0
Verizon Communications Inc,1.2636460226884908e-06,0.0,0.0006055116780991775,-0.5569536523010137,30.245972463877024,1292906.340918696,0.0
McDonald's Corp,4.893920394192787e-07,0.0,0.0006053295174370907,0.05624358443855551,7.192241201487783,30580.3345744596,0.0
Nextera Energy Inc,5.807222447254331e-07,0.0,0.0007990926395251153,0.10921792689604061,8.125780592526109,45766.231498463,0.0
Duke Energy Corp,1.5205320306917475e-06,0.0,0.0006653314988337069,-0.00842095225175457,16.228577417907307,304273.502393098,0.0
Southern Co,2.920279625767839e-06,0.0,0.0006893722624771101,0.08867844183390693,15.477134576368357,270741.35837134835,0.0
Dominion Energy Inc,6.580972616104679e-07,0.0,0.0006791629237077972,0.0737372535232865,14.602525452583027,234105.9009260241,0.0
Consolidated Edison Inc,2.647509859826755e-06,0.0,0.0007130789777484493,0.12298555497247678,16.883953166266977,335273.8728978014,0.0
