Stock,Mean,Median,Stdev,Skewness,Kurtosis,JB Stat,JB p-value
UnitedHealth Group Inc,5.100323361996412e-06,0.0,0.0007884239730508916,0.20267156263676409,7.214853372713382,31174.55646965964,0.0
Johnson & Johnson,1.3193606127822545e-06,0.0,0.000575714436480381,0.07502122472528294,10.888962510918143,108251.51868664354,0.0
Walmart Inc,-9.674105111149997e-07,0.0,0.0006587027719750787,0.0628931908278223,9.033077975921827,63314.58529951497,0.0
Verizon Communications Inc,-1.278088901102679e-06,0.0,0.0005968895867854545,0.11076989085845312,13.915688008629433,207261.30310759728,0.0
McDonald's Corp,-2.829173334639105e-06,0.0,0.0006214047822619845,0.02837402696406654,6.813259743989987,25288.675964390084,0.0
Nextera Energy Inc,-2.7431156300911367e-06,0.0,0.0007915116963053538,0.1757388245042318,8.905333995635722,60850.175047036246,0.0
Duke Energy Corp,5.02596615645861e-07,0.0,0.0006550867000090353,-0.01089426915378034,10.606327079341556,100598.31344031473,0.0
Southern Co,1.0019801006296624e-06,0.0,0.0006855447205610629,0.22747105776124124,12.396340529324053,153876.22381381,0.0
Dominion Energy Inc,-2.4839648030088555e-07,0.0,0.0007081053113770007,0.11764204970747556,11.002172300417845,111436.69638127483,0.0
Consolidated Edison Inc,1.4738538086363599e-06,0.0,0.0007227401763796956,0.1397995302871834,13.597519019790559,195410.4359352624,0.0
