Stock,Mean,Median,Stdev,Skewness,Kurtosis,JB Stat,JB p-value
UnitedHealth Group Inc,4.568847156087958e-06,0.0,0.0007745141699276211,0.15198226517644142,7.635422375227752,37521.416537715464,0.0
Johnson & Johnson,1.886574341611238e-06,0.0,0.0005783289744895322,0.06363373723339029,10.416170272234833,95658.68489615004,0.0
Walmart Inc,1.5054633951249474e-06,0.0,0.0006639809313952133,0.07707183916959777,8.608093473486736,54726.23937397828,0.0
Verizon Communications Inc,1.1643929924482204e-06,0.0,0.0006033331430205285,-0.566490011263237,30.883608977226764,1354102.4962711476,0.0
McDonald's Corp,5.608875441458176e-07,0.0,0.0006042037014047585,0.05589857641406907,7.223997100565032,31044.772876958148,0.0
Nextera Energy Inc,4.208076447420438e-07,0.0,0.000797146345708239,0.10793468137948628,8.188418903457931,46887.637258320945,0.0
Duke Energy Corp,1.5750581284964866e-06,0.0,0.0006637138218639806,-0.006645070167720663,16.357640935164078,310239.5080512703,0.0
Southern Co,3.001178557154586e-06,0.0,0.0006877077236722992,0.08787381724541062,15.575489607380824,275024.7401250672,0.0
Dominion Energy Inc,7.124875537879874e-07,0.0,0.0006730899430490856,0.08146994401984195,15.129628972643047,255864.79719218065,0.0
Consolidated Edison Inc,2.50252628902671e-06,0.0,0.0007118509193795751,0.12345330961604228,17.07419669441885,344522.83735161147,0.0
